1,Dieta de volumen,Dieta diseñada para aumentar masa muscular,30,59.99
2,Dieta de definición,Dieta diseñada para reducir grasa corporal y mantener músculo,30,49.99
3,Dieta de mantenimiento,Dieta para mantener el peso y la masa muscular,30,39.99
4,Dieta vegana de volumen,Dieta vegana para aumentar masa muscular,30,59.99
5,Dieta vegana de definición,Dieta vegana para reducir grasa corporal y mantener músculo,30,49.99
6,Dieta cetogénica,Dieta baja en carbohidratos para perder peso,30,59.99
7,Dieta paleo,Dieta basada en alimentos de la era paleolítica,30,49.99
8,Dieta flexible,Dieta que permite ajustar macronutrientes según necesidades,30,39.99
9,Dieta vegetariana de volumen,Dieta vegetariana para aumentar masa muscular,30,59.99
10,Dieta vegetariana de definición,Dieta vegetariana para reducir grasa corporal y mantener músculo,30,49.99
